TUB.BR	TUBIZE-FIN
UCB.BR	UCB
UMI.BR	UMICORE (D)
UNITB.BR
VAN.BR	VAN DE VELDE
VASTB.BR
VGP.BR	VGP
VIO.BR
WDP.BR	WDP-SICAFI
WEB.BR	WAREHOUSES-SICAFI
WEHB.BR	WERELDHAV B-SICAFI
WOLE.BR
WOLS.BR
ZENT.BR	ZENITEL
ZTS.BR	ZETES INDUSTRIES
